timestamp,temp,pressure,cloudiness,humidity_relative
2024-05-18T22:00:00,13.91,1004,0.4,88
2024-05-18T23:00:00,13.43,1006,0.4,90
2024-05-19T00:00:00,12.86,1007,0.48,92
2024-05-19T01:00:00,12.3,1009,0.56,94
2024-05-19T02:00:00,11.74,1010,0.72,96
2024-05-19T03:00:00,11.2,1012,1.52,98
2024-05-19T04:00:00,11.25,1011,1.68,97
2024-05-19T05:00:00,11.1,1011,1.44,97
2024-05-19T06:00:00,10.95,1011,1.28,97
2024-05-19T07:00:00,11.92,1012,1.12,97
2024-05-19T08:00:00,14.09,1012,1.12,90
2024-05-19T09:00:00,16.07,1012,0.24,81
2024-05-19T10:00:00,17.61,1012,0.08,71
2024-05-19T11:00:00,18.72,1012,0.24,64
2024-05-19T12:00:00,19.15,1012,0.32,61
2024-05-19T13:00:00,19.19,1012,0.4,60
2024-05-19T14:00:00,19,1012,0.48,61
2024-05-19T15:00:00,18.63,1012,0.64,61
2024-05-19T16:00:00,18.19,1012,0.56,64
2024-05-19T17:00:00,17.6,1012,0.56,67
2024-05-19T18:00:00,16.98,1012,0.56,70
2024-05-19T19:00:00,16.05,1012,0.56,73
2024-05-19T20:00:00,15.1,1012,0.56,80
2024-05-19T21:00:00,13.9,1012,6.96,82
2024-05-19T22:00:00,13.17,1012,5.84,83
2024-05-19T23:00:00,12.67,1012,4.24,85
2024-05-20T00:00:00,12.32,1012,3.2,88
2024-05-20T01:00:00,11.94,1012,2.64,89
2024-05-20T02:00:00,11.65,1012,2.24,88
2024-05-20T03:00:00,11.27,1012,0.56,88
2024-05-20T04:00:00,10.95,1012,0.56,89
2024-05-20T05:00:00,10.71,1012,0.48,92
2024-05-20T06:00:00,10.59,1012,0.48,94
2024-05-20T07:00:00,11.53,1012,0.48,94
2024-05-20T08:00:00,13.37,1012,0.48,88
2024-05-20T09:00:00,14.75,1012,1.36,82
2024-05-20T10:00:00,15.82,1012,2.96,78
2024-05-20T11:00:00,16.63,1012,3.84,75
2024-05-20T12:00:00,17.38,1012,4.4,72
2024-05-20T13:00:00,17.83,1011,4.64,70
2024-05-20T14:00:00,17.67,1011,4.64,70
2024-05-20T15:00:00,17.64,1011,1.28,70
2024-05-20T16:00:00,17.88,1010,1.36,71
2024-05-20T17:00:00,16.77,1010,1.28,75
2024-05-20T18:00:00,15.81,1010,0.96,79
2024-05-20T19:00:00,15.22,1010,0.88,82
2024-05-20T20:00:00,14.14,1010,1.04,88
2024-05-20T21:00:00,12.89,1010,2.24,93
